id,calories,proteins,fat,carbohydrate,name,image
74,92.0,1.2,0.3,21.0,Batatas kelapa ubi kukus,https://img-global.cpcdn.com/recipes/9f91679fd1ba49f0/680x482cq70/singkong-kukus-toping-kelapa-parut-foto-resep-utama.jpg
75,89.0,1.1,0.1,21.0,Batatas kelapa ubi segar,https://th.bing.com/th?id=ABTE8B1595CD1C0C5A990C01CE78BE64402674F61A3C217A9FF9CCB31D6F7E9E29A&w=1144&h=568&c=1
76,182.0,2.4,0.4,42.2,Batatas tali ubi rebus,https://img-global.cpcdn.com/recipes/f9664da25cda52e4/1200x630cq70/photo.jpg
77,45.0,1.4,0.2,10.3,Bawang Bombay,https://res.cloudinary.com/dk0z4ums3/image/upload/v1621837004/attached_image/berbagai-nutrisi-di-balik-manfaat-bombay.jpg
78,39.0,1.5,0.3,0.2,Bawang Merah,https://cdn.shopify.com/s/files/1/0369/8321/0116/products/015_640x.jpg?v=1646380408
79,95.0,4.5,0.2,23.1,Bawang Putih,https://www.astronauts.id/blog/wp-content/uploads/2022/11/Manfaat-Bawang-Putih-Untuk-Kulit-yang-Tidak-Banyak-Tahu.jpg
80,30.0,1.3,0.7,5.8,Bayam kukus,https://img-global.cpcdn.com/recipes/ff942e133f5dc64e/680x482cq70/bayam-kukus-foto-resep-utama.jpg
81,51.0,4.6,0.5,10.0,Bayam Merah,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/15060945/manfaat-bayam-merah-yang-jarang-diketahui-halodoc.jpg
82,41.0,2.2,0.8,6.3,Bayam merah segar,https://images.tokopedia.net/img/cache/700/VqbcmM/2020/10/28/6efbc93d-e05c-4446-8c6c-c6d401dc7407.jpg
83,23.0,1.2,0.6,3.7,Bayam rebus,https://img-global.cpcdn.com/recipes/5be8dc1e0002f811/1200x630cq70/photo.jpg
84,36.0,3.5,0.5,6.5,Bayam segar,https://mitalom.com/wp-content/uploads/2015/10/Gambar-Daun-Bayam.jpg
85,102.0,3.7,6.7,6.9,Bayam tumis + oncom,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1601173915/chhxzj6dnkwkryigiyrl.jpg"
86,48.0,1.4,4.2,2.6,Bayam tumis bersantan,https://img.kurio.network/FnRZ04iY18q6h7oJzzZDFZOD5Zk=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/04/07/2ab69e8a-370d-460a-89ac-0efadafee196.jpe
87,326.0,16.0,28.6,0.0,Bebek (itik),https://asset.kompas.com/crops/6unVsacqX8mpZ19lviQLxyDPCoI=/0x0:1000x667/750x500/data/photo/2020/11/03/5fa0cee5cb3cf.jpg
88,303.0,11.3,27.0,3.7,Bebek alabio daging segar,https://medioenblog.files.wordpress.com/2018/02/bebek.jpg
